node_id,role,x,y
c1,Corridor Intermediary,0.6043406050579305,0.8829983075289773
c10,Corridor Intermediary,0.5514026782332531,0.17736327514539652
c11,Corridor Intermediary,0.5378376327142234,0.8742624408390571
c12,Corridor Intermediary,0.5015419431047948,0.27200322988470405
c13,Corridor Intermediary,0.641431001802006,0.637412130089028
c14,Corridor Intermediary,0.5496836960255657,0.3403360651832562
c2,Corridor Intermediary,0.6257718989459901,0.5719933544084882
c3,Corridor Intermediary,0.48921407706323955,0.5840450030638811
c4,Corridor Intermediary,0.5836402024890627,0.6103972646306658
c5,Corridor Intermediary,0.5766321696230735,0.6411601950502306
c6,Corridor Intermediary,0.652981269105505,0.22063041533469496
c7,Corridor Intermediary,0.5458654523929731,0.45225077375055
c8,Corridor Intermediary,0.5956186541135148,0.2916511694636187
c9,Corridor Intermediary,0.48244284489255573,0.4219986384831853
dod_anchor,DoD Endpoint,0.94,0.5
p1,Prime Endpoint,0.8523707836609307,0.21636796300874153
p2,Prime Endpoint,0.8227100633673835,0.2539707959746659
p3,Prime Endpoint,0.7484262142131628,0.8423245477956195
p4,Prime Endpoint,0.8483104049224374,0.5418611901338111
p5,Prime Endpoint,0.8622927439602971,0.2444419987591293
p6,Prime Endpoint,0.8565483503474297,0.8072455153571759
p7,Prime Endpoint,0.8097606807002988,0.6132573641779846
s1,Strict Semi,0.3311794025542506,0.7640381838413964
s2,Strict Semi,0.3492402143985311,0.2235688648491519
s3,Strict Semi,0.39920321208818393,0.31407944365102836
s4,Strict Semi,0.35006067239869954,0.8042657231846629
s5,Strict Semi,0.36695363106022066,0.5078326478947386
s6,Strict Semi,0.3303734242052076,0.7777201970926955
u1,Upstream-of-Semi,0.20752100265302673,0.8964002267475142
u10,Upstream-of-Semi,0.17294568962561857,0.5119110562170962
u11,Upstream-of-Semi,0.13666713390024898,0.47296482026023134
u12,Upstream-of-Semi,0.13125363466217013,0.8337342185542819
u13,Upstream-of-Semi,0.12607130928390742,0.6033810035928083
u14,Upstream-of-Semi,0.16791678729418225,0.5112941172796112
u15,Upstream-of-Semi,0.1810006169707497,0.49749874831480345
u16,Upstream-of-Semi,0.1917694174563883,0.2980119376218647
u2,Upstream-of-Semi,0.2673870362133066,0.7341295353710025
u3,Upstream-of-Semi,0.24065085185394255,0.5977433835529301
u4,Upstream-of-Semi,0.1195455817979302,0.8911681181455079
u5,Upstream-of-Semi,0.1360365826804696,0.27224695858847914
u6,Upstream-of-Semi,0.2621817579871776,0.22816962708627564
u7,Upstream-of-Semi,0.07115836700442645,0.5900316834184246
u8,Upstream-of-Semi,0.25067025204420856,0.1351536063691067
u9,Upstream-of-Semi,0.24535527432545015,0.1285442230188769
